0;0,5
0,002507;0,501
0,005013;0,502
0,00752;0,503
0,01;0,5039894
0,010027;0,504
0,012533;0,505
0,01504;0,506
0,017547;0,507
0,02;0,5079783
0,020054;0,508
0,022562;0,509
0,025069;0,51
0,027576;0,511
0,03;0,5119665
0,030084;0,512
0,032592;0,513
0,0351;0,514
0,037608;0,515
0,04;0,5159534
0,040117;0,516
0,042626;0,517
0,045135;0,518
0,047644;0,519
0,05;0,5199388
0,050154;0,52
0,052664;0,521
0,055174;0,522
0,057684;0,523
0,06;0,5239222
0,060195;0,524
0,062707;0,525
0,065219;0,526
0,067731;0,527
0,07;0,5279032
0,070243;0,528
0,072756;0,529
0,07527;0,53
0,077784;0,531
0,08;0,5318814
0,080298;0,532
0,082813;0,533
0,085329;0,534
0,087845;0,535
0,09;0,5358564
0,090361;0,536
0,092879;0,537
0,095396;0,538
0,097915;0,539
0,1;0,5398278
0,100434;0,54
0,102953;0,541
0,105474;0,542
0,107995;0,543
0,11;0,5437953
0,110516;0,544
0,113039;0,545
0,115562;0,546
0,118085;0,547
0,12;0,5477584
0,12061;0,548
0,123135;0,549
0,125661;0,55
0,128188;0,551
0,13;0,5517168
0,130716;0,552
0,133245;0,553
0,135774;0,554
0,138304;0,555
0,14;0,55567
0,140835;0,556
0,143367;0,557
0,1459;0,558
0,148434;0,559
0,15;0,5596177
0,150969;0,56
0,153505;0,561
0,156042;0,562
0,15858;0,563
0,16;0,5635595
0,161119;0,564
0,163658;0,565
0,166199;0,566
0,168741;0,567
0,17;0,5674949
0,171285;0,568
0,173829;0,569
0,176374;0,57
0,178921;0,571
0,18;0,5714237
0,181468;0,572
0,184017;0,573
0,186567;0,574
0,189118;0,575
0,19;0,5753454
0,191671;0,576
0,194225;0,577
0,19678;0,578
0,199336;0,579
0,2;0,5792597
0,201893;0,58
0,204452;0,581
0,207013;0,582
0,209574;0,583
0,21;0,5831662
0,212137;0,584
0,214702;0,585
0,217267;0,586
0,219835;0,587
0,22;0,5870644
0,222403;0,588
0,224973;0,589
0,227545;0,59
0,23;0,5909541
0,230118;0,591
0,232693;0,592
0,235269;0,593
0,237847;0,594
0,24;0,5948349
0,240426;0,595
0,243007;0,596
0,24559;0,597
0,248174;0,598
0,25;0,5987063
0,25076;0,599
0,253347;0,6
0,255936;0,601
0,258527;0,602
0,26;0,6025681
0,26112;0,603
0,263714;0,604
0,266311;0,605
0,268909;0,606
0,27;0,6064199
0,271508;0,607
0,27411;0,608
0,276714;0,609
0,279319;0,61
